place_id,name,city,category,best_time_to_visit,popularity,tags
90,Red Healing Springs of Asyut,Asyut,medical,Year-round,Low,"health, therapy, spa, meditation"
91,Divine Sandboarding Area of Marsa Alam,Marsa Alam,adventure,Oct-Apr,Low,"nature, sports, hiking"
92,Cairo Church,Cairo,historical,Spring (Mar-May),Medium,"sculpture, coptic, museum"
93,Majestic Wellness Resort of Asyut,Asyut,medical,Winter-Spring,Low,"mineral water, relaxation, massage, spa, wellness"
94,Fayoum Quad Biking Area,Fayoum,adventure,Oct-Apr,High,"adrenaline, outdoor, hiking"
95,Taba Mountain Trail,Taba,adventure,Winter (Nov-Feb),Medium,"trekking, safari, desert, adrenaline, mountain"
96,Luxor Temple,Luxor,historical,Oct-Apr,Low,"architecture, archaeological, civilization"
97,Kom Ombo Monastery,Kom Ombo,historical,Spring (Mar-May),High,"architecture, sculpture, ancient"
98,Red Church of Alexandria,Alexandria,historical,Spring (Mar-May),High,"islamic, archaeological, heritage"
99,Zagazig Nature Reserve,Zagazig,adventure,Winter (Nov-Feb),Medium,"outdoor, camping, climbing, wildlife, mountain"
100,Taba Diving Site,Taba,adventure,Oct-Apr,Low,"sports, nature, excitement, extreme, adventure"
101,Sohag Nature Reserve,Sohag,adventure,Spring (Mar-May),Medium,"climbing, excitement, exploration, sports, mountain"
102,Port Said Wildlife Reserve,Port Said,adventure,Winter (Nov-Feb),Medium,"mountain, extreme, adventure, outdoor, trekking"
103,Royal Beach Resort of Ismailia,Ismailia,beach,Year-round,High,"beach, sea, diving, fishing"
104,Sacred Thermal Baths of Edfu,Edfu,medical,Year-round,Medium,"wellness, mineral water, holistic, yoga, healing"
105,Dahab Temple,Dahab,historical,Oct-Apr,High,"ancient, architecture, sculpture, archaeological"
106,Asyut Thermal Baths,Asyut,medical,Year-round,Medium,"spa, wellness, holistic"
107,Hurghada Thermal Baths,Hurghada,medical,Year-round,Medium,"spa, detox, mineral water"
108,Asyut Sandboarding Area,Asyut,adventure,Oct-Apr,High,"desert, safari, extreme"
109,Taba Marina,Taba,beach,Spring-Fall,High,"diving, sailing, sea, fishing, water sports"
110,Divine Salt Cave of Dahab,Dahab,medical,Winter-Spring,High,"healing, mineral water, detox"
111,Crystal Beach Resort of Edfu,Edfu,beach,Year-round,Medium,"water sports, beach, boat trip, swimming, relaxation"
112,Crystal Canyon of Suez,Suez,adventure,Spring (Mar-May),Medium,"adventure, outdoor, extreme, excitement, sports"
113,Minya Wellness Resort,Minya,medical,Fall (Sep-Oct),Low,"massage, therapeutic, wellness, yoga"
114,Dahab Snorkeling Spot,Dahab,beach,Year-round,Medium,"snorkeling, sea, fishing"
115,Sharm El Sheikh Cave,Sharm El Sheikh,adventure,Spring (Mar-May),Medium,"camping, adventure, excitement, trekking, hiking"
116,Sacred Beach Resort of Luxor,Luxor,beach,Spring-Fall,High,"coral reefs, beach, beach volleyball, boat trip, snorkeling"
117,Modern Church of Suez,Suez,historical,Spring (Mar-May),Low,"cultural, historic, coptic, pharaonic, museum"
118,Marsa Alam Nature Reserve,Marsa Alam,adventure,Spring (Mar-May),Medium,"adventure, safari, hiking, exploration, desert"
119,Paradise Safari Park of Suez,Suez,adventure,Oct-Apr,Medium,"hiking, adventure, mountain"
120,Blue Thermal Baths of Sohag,Sohag,medical,Winter-Spring,Medium,"relaxation, holistic, therapy, yoga, health"
121,Taba Citadel,Taba,historical,Oct-Apr,Medium,"pharaonic, roman, museum, educational, archaeological"
122,Minya Water Park,Minya,beach,Summer (Jun-Aug),Low,"beach volleyball, kayaking, beach, sailing, boat trip"
123,Luxor Thermal Baths,Luxor,medical,Fall (Sep-Oct),Medium,"meditation, relaxation, wellness, health, healing"
124,Ismailia Mountain Trail,Ismailia,adventure,Winter (Nov-Feb),High,"adventure, outdoor, excitement"
125,Divine Church of Qena,Qena,historical,Winter (Nov-Feb),Low,"architecture, islamic, historic, pharaonic, coptic"
126,Sacred Nature Reserve of Minya,Minya,adventure,Winter (Nov-Feb),Low,"adventure, camping, adrenaline, mountain, excitement"
127,Mansoura Diving Site,Mansoura,adventure,Spring (Mar-May),Medium,"sports, adventure, adrenaline"
128,Giza Museum,Giza,historical,Winter-Spring,High,"roman, sculpture, cultural, civilization, islamic"
129,Divine Rehabilitation Center of Ismailia,Ismailia,medical,Year-round,Low,"wellness, healing, health, relaxation"
130,Dahab Pyramids,Dahab,historical,Oct-Apr,Low,"architecture, museum, art, educational"
131,Siwa Waterfront,Siwa,beach,Spring-Fall,Low,"sea, beach volleyball, boat trip"
132,Fayoum Pyramids,Fayoum,historical,Oct-Apr,Medium,"historic, cultural, sculpture"
133,Majestic Museum of Port Said,Port Said,historical,Winter (Nov-Feb),Low,"islamic, architecture, civilization, art, educational"
134,Red Seaside Promenade of Port Said,Port Said,beach,Summer (Jun-Aug),Medium,"coral reefs, fishing, beach volleyball, snorkeling"
135,Mansoura Snorkeling Spot,Mansoura,beach,Spring-Fall,Medium,"diving, kayaking, water sports, boat trip, coral reefs"
136,Sharm El Sheikh Salt Cave,Sharm El Sheikh,medical,Fall (Sep-Oct),Low,"holistic, health, yoga, therapeutic"
137,Majestic Salt Cave of Nuweiba,Nuweiba,medical,Fall (Sep-Oct),Low,"health, relaxation, wellness, therapeutic, massage"
138,Mansoura Spa,Mansoura,medical,Winter-Spring,Low,"yoga, health, holistic, meditation, wellness"
139,Siwa Beach,Siwa,beach,Summer (Jun-Aug),Medium,"coral reefs, water sports, marine life"
140,Red Zip Line of Edfu,Edfu,adventure,Oct-Apr,Medium,"camping, adventure, excitement"
141,Kom Ombo Water Park,Kom Ombo,beach,Spring-Fall,Medium,"beach, sunset, kayaking, fishing"
142,Ismailia Healing Springs,Ismailia,medical,Winter-Spring,Medium,"rejuvenation, detox, health"
143,Secret Citadel of Qena,Qena,historical,Winter-Spring,Medium,"architecture, coptic, cultural, civilization"
144,Nuweiba Wellness Center,Nuweiba,medical,Winter-Spring,High,"wellness, mineral water, therapy"
145,Red Thermal Baths of Dahab,Dahab,medical,Fall (Sep-Oct),Low,"holistic, health, detox"
146,Alexandria Hot Springs,Alexandria,medical,Year-round,High,"therapeutic, healing, rejuvenation"
147,Majestic Desert Safari of Qena,Qena,adventure,Spring (Mar-May),Low,"nature, sports, safari, trekking"
148,Modern Islamic Monument of Taba,Taba,historical,Winter-Spring,Medium,"civilization, ancient, historic"
149,Red Sandboarding Area of Cairo,Cairo,adventure,Winter (Nov-Feb),High,"hiking, trekking, adventure, safari, outdoor"
150,Port Said Wellness Center,Port Said,medical,Fall (Sep-Oct),Medium,"relaxation, rejuvenation, yoga"
151,Red Monastery of Sharm El Sheikh,Sharm El Sheikh,historical,Winter (Nov-Feb),Low,"roman, pharaonic, educational, architecture"
152,Modern Citadel of Qena,Qena,historical,Winter-Spring,Medium,"islamic, archaeological, architecture, monuments"
153,Kom Ombo Church,Kom Ombo,historical,Winter-Spring,Low,"architecture, cultural, pharaonic, roman, islamic"
154,Nuweiba Seaside Promenade,Nuweiba,beach,Year-round,High,"boat trip, kayaking, sea, surfing, snorkeling"
155,Cairo Safari Park,Cairo,adventure,Oct-Apr,High,"adventure, nature, camping, trekking"
156,Mansoura Water Sports Center,Mansoura,adventure,Winter (Nov-Feb),Medium,"exploration, safari, camping, adventure"
157,Edfu Rehabilitation Center,Edfu,medical,Winter-Spring,Medium,"wellness, therapy, yoga"
158,Ismailia Seaside Promenade,Ismailia,beach,Summer (Jun-Aug),Medium,"fishing, coral reefs, beach volleyball, surfing, water sports"
159,Port Said Rehabilitation Center,Port Said,medical,Fall (Sep-Oct),Medium,"health, spa, healing, meditation, rejuvenation"
160,Grand Healing Springs of Dahab,Dahab,medical,Winter-Spring,Medium,"therapy, detox, healing"
161,Qena Paragliding Spot,Qena,adventure,Winter (Nov-Feb),High,"wildlife, hiking, sports, adventure, camping"
162,Sharm El Sheikh Spa,Sharm El Sheikh,medical,Year-round,High,"holistic, massage, therapy"
163,Paradise Mineral Springs of Hurghada,Hurghada,medical,Year-round,Low,"health, relaxation, wellness, holistic"
164,Sacred Thermal Baths of Alexandria,Alexandria,medical,Fall (Sep-Oct),Low,"therapeutic, therapy, spa"
165,Majestic Fortress of Ismailia,Ismailia,historical,Winter-Spring,Medium,"art, architecture, heritage, ancient"
166,Paradise Medical Tourism Center of Ismailia,Ismailia,medical,Year-round,Low,"therapeutic, health, yoga, relaxation, mineral water"
167,Suez Camping Site,Suez,adventure,Spring (Mar-May),Medium,"hiking, outdoor, mountain, trekking, excitement"
168,Crystal Marina of Dahab,Dahab,beach,Summer (Jun-Aug),High,"diving, marine life, relaxation, snorkeling"
169,Marsa Alam Islamic Monument,Marsa Alam,historical,Winter (Nov-Feb),Medium,"monuments, art, coptic"
170,Port Said Islamic Monument,Port Said,historical,Winter (Nov-Feb),Medium,"monuments, archaeological, historic"
171,Kom Ombo Diving Center,Kom Ombo,beach,Summer (Jun-Aug),Medium,"coral reefs, marine life, sunset, kayaking"
172,Grand Wellness Center of Sharm El Sheikh,Sharm El Sheikh,medical,Year-round,Medium,"therapy, healing, holistic, health, rejuvenation"
173,Grand Waterfront of Ismailia,Ismailia,beach,Year-round,Medium,"water sports, sunset, surfing, snorkeling, relaxation"
174,White Safari Park of Suez,Suez,adventure,Winter (Nov-Feb),Medium,"safari, mountain, outdoor"
175,Sharm El Sheikh Temple,Sharm El Sheikh,historical,Oct-Apr,Medium,"coptic, historic, sculpture"
176,Giza Coptic Church,Giza,historical,Winter-Spring,Medium,"civilization, museum, monuments"
177,Siwa Bay,Siwa,beach,Year-round,Medium,"diving, fishing, water sports"
178,Royal Ancient Ruins of Dahab,Dahab,historical,Winter (Nov-Feb),Medium,"sculpture, ancient, roman"
179,Marsa Alam Salt Cave,Marsa Alam,medical,Fall (Sep-Oct),Low,"relaxation, mineral water, yoga"
180,Kom Ombo Museum,Kom Ombo,historical,Oct-Apr,Medium,"historic, ancient, art, monuments"
181,Fayoum Water Park,Fayoum,beach,Spring-Fall,Low,"coral reefs, swimming, kayaking, beach"
182,Sharm El Sheikh Citadel,Sharm El Sheikh,historical,Spring (Mar-May),Medium,"archaeological, educational, ancient"
183,Qena Healing Springs,Qena,medical,Year-round,Low,"health, detox, relaxation"
184,Hidden Heritage Site of Siwa,Siwa,historical,Oct-Apr,Low,"pharaonic, art, sculpture, roman, educational"
185,Qena Hot Springs,Qena,medical,Winter-Spring,Medium,"spa, mineral water, healing"
186,Sohag Bay,Sohag,beach,Summer (Jun-Aug),Low,"coral reefs, marine life, boat trip"
187,Secret Beach of Mansoura,Mansoura,beach,Year-round,Medium,"swimming, coral reefs, snorkeling, diving"
188,Grand Island of Suez,Suez,beach,Summer (Jun-Aug),High,"relaxation, beach, beach volleyball, fishing"
189,Aswan Spa,Aswan,medical,Fall (Sep-Oct),High,"detox, meditation, therapeutic, therapy"
190,Grand Marina of Nuweiba,Nuweiba,beach,Spring-Fall,Low,"snorkeling, beach, sailing"
191,White Health Retreat of Giza,Giza,medical,Fall (Sep-Oct),Medium,"therapy, meditation, mineral water, healing, detox"
192,Dahab Healing Springs,Dahab,medical,Winter-Spring,High,"therapy, rejuvenation, therapeutic"
193,Cairo Canyon,Cairo,adventure,Spring (Mar-May),High,"adrenaline, exploration, climbing, extreme, nature"
194,Grand Therapeutic Pool of Asyut,Asyut,medical,Fall (Sep-Oct),Medium,"therapy, meditation, yoga"
195,Marsa Alam Museum,Marsa Alam,historical,Spring (Mar-May),Medium,"islamic, archaeological, civilization"
196,Hidden Nature Reserve of Qena,Qena,adventure,Spring (Mar-May),Medium,"safari, adventure, sports, hiking, wildlife"
197,Siwa Coptic Church,Siwa,historical,Spring (Mar-May),Medium,"cultural, sculpture, civilization, archaeological"
198,Aswan Wellness Center,Aswan,medical,Winter-Spring,High,"wellness, relaxation, health"
199,Giza Water Park,Giza,beach,Summer (Jun-Aug),High,"swimming, snorkeling, beach volleyball"
200,Minya Archaeological Site,Minya,historical,Winter-Spring,Low,"cultural, art, sculpture, historic"
201,Paradise Salt Cave of Alexandria,Alexandria,medical,Winter-Spring,Medium,"healing, wellness, relaxation, detox, massage"
202,White Camping Site of Zagazig,Zagazig,adventure,Spring (Mar-May),Medium,"desert, excitement, hiking, outdoor"
203,Royal Church of Kom Ombo,Kom Ombo,historical,Winter-Spring,High,"coptic, civilization, museum"
204,Edfu Medical Tourism Center,Edfu,medical,Year-round,Low,"health, healing, wellness, yoga"
205,Fayoum Mountain Trail,Fayoum,adventure,Winter (Nov-Feb),High,"excitement, camping, extreme"
206,Suez Diving Center,Suez,beach,Spring-Fall,Medium,"beach, sea, sailing, fishing"
207,Port Said Bay,Port Said,beach,Spring-Fall,Medium,"surfing, water sports, sailing"
208,Kom Ombo Temple,Kom Ombo,historical,Spring (Mar-May),Low,"roman, heritage, architecture, sculpture, coptic"
209,Dahab Mineral Springs,Dahab,medical,Fall (Sep-Oct),High,"relaxation, therapy, detox, mineral water, holistic"
210,Giza Snorkeling Spot,Giza,beach,Summer (Jun-Aug),High,"diving, beach, surfing"
211,Port Said Wellness Resort,Port Said,medical,Fall (Sep-Oct),Medium,"wellness, healing, therapeutic, holistic"
212,Secret Hot Springs of Fayoum,Fayoum,medical,Fall (Sep-Oct),Medium,"therapy, healing, relaxation, health, holistic"
213,Asyut Temple,Asyut,historical,Oct-Apr,High,"art, architecture, islamic, coptic"
214,Grand Safari Park of Cairo,Cairo,adventure,Winter (Nov-Feb),Medium,"adrenaline, camping, sports, desert"
215,Fayoum Hot Springs,Fayoum,medical,Winter-Spring,High,"health, therapy, meditation, massage"
216,Giza Mineral Springs,Giza,medical,Fall (Sep-Oct),High,"therapy, massage, mineral water"
217,Kom Ombo Beach,Kom Ombo,beach,Spring-Fall,Medium,"beach, relaxation, surfing, swimming, sea"
218,Hidden Hiking Path of Alexandria,Alexandria,adventure,Oct-Apr,Medium,"adventure, camping, outdoor"
219,Port Said Heritage Site,Port Said,historical,Oct-Apr,High,"pharaonic, monuments, roman, islamic, museum"
220,Fayoum Water Sports Center,Fayoum,adventure,Oct-Apr,High,"adventure, camping, outdoor, adrenaline"
221,Ismailia Thermal Baths,Ismailia,medical,Year-round,Medium,"therapy, therapeutic, yoga"
222,Minya Marina,Minya,beach,Year-round,High,"fishing, surfing, relaxation, beach, beach volleyball"
223,Grand Tomb of Zagazig,Zagazig,historical,Spring (Mar-May),Medium,"civilization, ancient, monuments, archaeological"
224,Nuweiba Mountain Trail,Nuweiba,adventure,Oct-Apr,Medium,"adventure, adrenaline, safari, excitement"
225,Nuweiba Pharaonic Site,Nuweiba,historical,Spring (Mar-May),Medium,"sculpture, historic, educational, roman, art"
226,Blue Sandboarding Area of Fayoum,Fayoum,adventure,Spring (Mar-May),Medium,"excitement, sports, exploration"
227,Nuweiba Islamic Monument,Nuweiba,historical,Spring (Mar-May),Medium,"ancient, historic, cultural, architecture, coptic"
228,Alexandria Nature Reserve,Alexandria,adventure,Oct-Apr,High,"mountain, extreme, adrenaline"
229,Asyut Coptic Church,Asyut,historical,Winter-Spring,Medium,"monuments, civilization, pharaonic, architecture"
230,Luxor Aquarium,Luxor,beach,Summer (Jun-Aug),High,"beach, water sports, relaxation"
231,Dahab Paragliding Spot,Dahab,adventure,Winter (Nov-Feb),High,"adventure, trekking, sports, exploration, extreme"
232,Ismailia Nature Reserve,Ismailia,adventure,Oct-Apr,Low,"climbing, adventure, extreme, safari"
233,Port Said Mineral Springs,Port Said,medical,Fall (Sep-Oct),Medium,"therapeutic, healing, meditation, massage, wellness"
234,Blue Health Retreat of Kom Ombo,Kom Ombo,medical,Fall (Sep-Oct),Low,"therapy, wellness, holistic"
235,Red Rehabilitation Center of Ismailia,Ismailia,medical,Fall (Sep-Oct),Medium,"holistic, rejuvenation, mineral water, spa, therapeutic"
236,Hurghada Coptic Church,Hurghada,historical,Winter-Spring,High,"architecture, monuments, ancient, museum, historic"
237,Aswan Zip Line,Aswan,adventure,Spring (Mar-May),High,"safari, adventure, sports, exploration"
238,Port Said Beach Club,Port Said,beach,Year-round,Low,"snorkeling, kayaking, relaxation"
239,Asyut Tomb,Asyut,historical,Spring (Mar-May),Medium,"art, cultural, pharaonic, roman"
240,Paradise Desert Safari of Giza,Giza,adventure,Winter (Nov-Feb),Low,"climbing, extreme, wildlife"
241,Royal Tomb of Asyut,Asyut,historical,Spring (Mar-May),Low,"cultural, historic, sculpture"
242,Blue Sandboarding Area of Taba,Taba,adventure,Oct-Apr,Medium,"wildlife, excitement, extreme, mountain"
243,Marsa Alam Island,Marsa Alam,beach,Summer (Jun-Aug),Low,"kayaking, diving, sea"
244,Qena Pharaonic Site,Qena,historical,Spring (Mar-May),High,"cultural, historic, heritage, sculpture, art"
245,Ancient Health Retreat of Zagazig,Zagazig,medical,Winter-Spring,Medium,"health, relaxation, spa, therapeutic"
246,Siwa Wellness Center,Siwa,medical,Year-round,Medium,"rejuvenation, therapeutic, spa, health, yoga"
247,Luxor Water Sports Center,Luxor,adventure,Spring (Mar-May),Medium,"outdoor, mountain, adrenaline"
248,Asyut Coastal Park,Asyut,beach,Summer (Jun-Aug),High,"sea, marine life, relaxation, diving"
249,Paradise Church of Cairo,Cairo,historical,Winter-Spring,High,"heritage, ancient, roman"
250,Grand Waterfront of Kom Ombo,Kom Ombo,beach,Year-round,Medium,"sea, beach volleyball, snorkeling, water sports, relaxation"
251,Divine Thermal Baths of Minya,Minya,medical,Winter-Spring,Low,"mineral water, detox, spa, rejuvenation, holistic"
252,Secret Wellness Center of Dahab,Dahab,medical,Year-round,High,"spa, health, detox, rejuvenation, wellness"
253,Sohag Healing Springs,Sohag,medical,Year-round,Low,"meditation, health, wellness"
254,Nuweiba Temple,Nuweiba,historical,Winter (Nov-Feb),Low,"cultural, pharaonic, sculpture, museum"
255,Blue Medical Tourism Center of Nuweiba,Nuweiba,medical,Fall (Sep-Oct),Low,"rejuvenation, healing, holistic, meditation"
256,Taba Diving Center,Taba,beach,Spring-Fall,Medium,"sailing, beach, snorkeling, fishing"
257,Sharm El Sheikh Spa,Sharm El Sheikh,medical,Fall (Sep-Oct),High,"wellness, healing, mineral water, health, rejuvenation"
258,Cairo Salt Cave,Cairo,medical,Winter-Spring,Medium,"healing, relaxation, detox, yoga, spa"
